director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres
Michael Mann,blackhat,Chris Hemsworth,Archie Kao,Brandon Molale,Action Crime Drama Mystery Thriller
Kerry Conran,sky captain and the world of tomorrow,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller
Michael Caton-Jones,basic instinct 2,Charlotte Rampling,Indira Varma,Neil Maskell,Crime Mystery Thriller
Mikael Håfström,escape plan,Sylvester Stallone,50 Cent,Matt Gerald,Action Crime Mystery Sci-Fi Thriller
Renny Harlin,the legend of hercules,Roxanne McKee,Luke Newberry,Gaia Weiss,Action Adventure Fantasy
Phil Alden Robinson,the sum of all fears,Morgan Freeman,Bruce McGill,Philip Baker Hall,Action Drama Thriller
David Slade,the twilight saga: eclipse,Robert Pattinson,Kristen Stewart,Anna Kendrick,Adventure Drama Fantasy Romance
Frank Oz,the score,Robert De Niro,Marlon Brando,Gary Farmer,Crime Drama Thriller
Pierre Coffin,despicable me,Steve Carell,Miranda Cosgrove,Jack McBrayer,Animation Comedy Family
Joseph Ruben,money train,Vincent Pastore,Robert Blake,Aida Turturro,Action Comedy Crime Drama Thriller
Seth MacFarlane,ted 2,Liam Neeson,Morgan Freeman,Seth MacFarlane,Comedy
Alejandro Amenábar,agora,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance
Kinka Usher,mystery men,Janeane Garofalo,Wes Studi,Eddie Izzard,Action Comedy Fantasy Sci-Fi
Bobby Farrelly,hall pass,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Comedy Romance
Michael Mann,the insider,Al Pacino,Rip Torn,Debi Mazar,Biography Drama Thriller
Craig Gillespie,the finest hours,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Action Drama History Thriller
Ridley Scott,body of lies,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Action Drama Thriller
Jay Roach,dinner for schmucks,Steve Carell,Stephanie Szostak,Bruce Greenwood,Comedy
Timur Bekmambetov,abraham lincoln: vampire hunter,Rufus Sewell,Dominic Cooper,Benjamin Walker,Action Fantasy Horror
Jon Amiel,entrapment,Will Patton,Kevin McNally,Maury Chaykin,Action Crime Romance Thriller
unknown,last man standing            ,Hector Elizondo,Kaitlyn Dever,Nancy Travis,Comedy
Rob Bowman,the x files,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Drama Mystery Sci-Fi Thriller
Doug Lefler,the last legion,Colin Firth,Nonso Anozie,Owen Teale,Action Adventure Fantasy War
Steven Spielberg,saving private ryan,Tom Hanks,Vin Diesel,Matt Damon,Action Drama War
Scott Waugh,need for speed,Rami Malek,Dominic Cooper,Ramon Rodriguez,Action Crime Drama Thriller
Nancy Meyers,what women want,Judy Greer,Lisa Edelstein,Loretta Devine,Comedy Fantasy Romance
Chris Wedge,ice age,Goran Visnjic,Stephen Root,Denis Leary,Adventure Animation Comedy Family
Lawrence Kasdan,dreamcatcher,Morgan Freeman,Michael O'Neill,Reece Thompson,Drama Horror Sci-Fi Thriller
Steven Spielberg,lincoln,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Biography Drama History War
Lana Wachowski,the matrix,Keanu Reeves,Marcus Chong,Gloria Foster,Action Sci-Fi
Ron Howard,apollo 13,Tom Hanks,Miko Hughes,Kathleen Quinlan,Adventure Drama History
Paul Verhoeven,total recall,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi
Michael Lembeck,the santa clause 2,Judge Reinhold,Aisha Tyler,Eric Lloyd,Comedy Family Fantasy
Tom Hooper,les misérables,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Drama Musical Romance
Nora Ephron,you've got mail,Tom Hanks,Jean Stapleton,Dave Chappelle,Comedy Drama Romance
Adam McKay,step brothers,Will Ferrell,Adam Scott,Andrea Savage,Comedy
Martin Campbell,the mask of zorro,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western
Todd Phillips,due date,Robert Downey Jr.,RZA,Matt Walsh,Comedy Drama
Angelina Jolie Pitt,unbroken,Finn Wittrock,Jack O'Connell,Alex Russell,Biography Drama Sport War
Clint Eastwood,space cowboys,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller
Renny Harlin,cliffhanger,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller
John Woo,broken arrow,Delroy Lindo,Samantha Mathis,Bob Gunton,Action Crime Thriller
Jon Turteltaub,the kid,Bruce Willis,Lily Tomlin,Daniel von Bargen,Comedy Family Fantasy
Oliver Stone,world trade center,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller
Mike Newell,mona lisa smile,Julia Roberts,Kirsten Dunst,Marian Seldes,Drama
Larry Charles,the dictator,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Comedy Romance
Stanley Kubrick,eyes wide shut,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller
Will Gluck,annie,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy Drama Family Musical
Glenn Ficarra,focus,Will Smith,Adrian Martinez,Gerald McRaney,Comedy Crime Drama Romance
McG,this means war,Tom Hardy,Abigail Spencer,Warren Christie,Action Comedy Romance
David S. Goyer,blade: trinity,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller
John Milius,red dawn,Lea Thompson,Jennifer Grey,William Smith,Action Drama War
Mike Nichols,primary colors,Maura Tierney,Adrian Lester,Paul Guilfoyle,Comedy Drama
Paul W.S. Anderson,resident evil: retribution,Milla Jovovich,Boris Kodjoe,Bingbing Li,Action Horror Sci-Fi Thriller
Paul W.S. Anderson,death race,Jason Statham,Max Ryan,Joan Allen,Action Sci-Fi Thriller
Renny Harlin,the long kiss goodnight,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller
Taylor Hackford,proof of life,Pamela Reed,Alun Armstrong,Michael Kitchen,Action Drama Thriller
Jon Favreau,zathura: a space adventure,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi
David Fincher,fight club,Brad Pitt,Meat Loaf,Eugenie Bondurant,Drama
McG,we are marshall,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,Drama Sport
unknown,the missing            ,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime Drama Mystery
Michael Lehmann,hudson hawk,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy
Nora Ephron,lucky numbers,Michael Rapaport,Michael Moore,Richard Schiff,Comedy Crime
Stuart Beattie,"i, frankenstein",Caitlin Stasey,Kevin Grevioux,Miranda Otto,Action Fantasy Sci-Fi Thriller
Roman Polanski,oliver twist,Ian McNeice,Barney Clark,Tony Noble,Crime Drama
Rob Bowman,elektra,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,Action Crime Fantasy Thriller
Frank Miller,sin city: a dame to kill for,Joseph Gordon-Levitt,Bruce Willis,Eva Green,Action Crime Thriller
Sydney Pollack,random hearts,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Drama Mystery Romance
Baltasar Kormákur,everest,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller
Tom Tykwer,perfume: the story of a murderer,Michael Smiley,David Calder,Simon Chandler,Crime Drama Fantasy
Jay Roach,austin powers in goldmember,Verne Troyer,Josh Zuckerman,Robert Wagner,Action Comedy Crime
David Bowers,astro boy,Nicolas Cage,Charlize Theron,Dee Bradley Baker,Action Animation Comedy Family Sci-Fi
Steven Spielberg,jurassic park,Wayne Knight,Ariana Richards,Bob Peck,Adventure Sci-Fi Thriller
Lawrence Kasdan,wyatt earp,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Adventure Biography Crime Drama Western
Phillip Noyce,clear and present danger,Harrison Ford,Dean Jones,Raymond Cruz,Action Crime Drama Thriller
Daniel Lee,dragon blade,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History
Keenen Ivory Wayans,littleman,Chazz Palminteri,Brittany Daniel,John Witherspoon,Comedy Crime
Jonathan Mostow,u-571,Matthew McConaughey,Thomas Kretschmann,David Keith,Action War
Rob Reiner,the american president,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance
Marco Schnabel,the love guru,Justin Timberlake,Romany Malco,Verne Troyer,Comedy Romance Sport
Demian Lichtenstein,3000 miles to graceland,Jon Lovitz,Bokeem Woodbine,Ice-T,Action Comedy Crime Thriller
Quentin Tarantino,the hateful eight,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Crime Drama Mystery Thriller Western
Josh Gordon,blades of glory,Will Ferrell,Amy Poehler,Jon Heder,Comedy Sport
Tim Hill,hop,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy
Zack Snyder,300,Gerard Butler,Michael Fassbender,Vincent Regan,Action Drama Fantasy War
Jay Roach,meet the fockers,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance
David Frankel,marley & me,Eric Dane,Kathleen Turner,Haley Bennett,Comedy Drama Family
Frank Darabont,the green mile,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery
Walt Becker,wild hogs,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy
Mark Dindal,chicken little,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi
David Fincher,gone girl,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller
Doug Liman,the bourne identity,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller
Martin Campbell,goldeneye,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller
Simon West,the general's daughter,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller
Peter Weir,the truman show,Natascha McElhone,Noah Emmerich,Peter Krause,Comedy Drama Sci-Fi
Brenda Chapman,the prince of egypt,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical
Steve Carr,daddy day care,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Comedy Family
Baltasar Kormákur,2 guns,Denzel Washington,Patrick Fischler,Fred Ward,Action Comedy Crime Drama Thriller
Lawrence Guterman,cats & dogs,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy
F. Gary Gray,the italian job,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller
Marc Lawrence,two weeks notice,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance
Eric Darnell,antz,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family
Peter Billingsley,couples retreat,Jon Favreau,Kristin Davis,Tasha Smith,Comedy
Tony Scott,days of thunder,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport
Adam Shankman,cheaper by the dozen 2,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family
Wes Ball,the scorch trials,Ki Hong Lee,Lili Taylor,Rosa Salazar,Action Sci-Fi Thriller
Ryan Murphy,eat pray love,James Franco,Julia Roberts,Billy Crudup,Drama Romance
Brett Ratner,the family man,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance
Robert Schwentke,red,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller
Oliver Stone,any given sunday,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport
Robert Redford,the horse whisperer,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western
Michael Mann,collateral,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller
Chuck Russell,the scorpion king,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller
Jay Russell,ladder 49,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller
Christopher McQuarrie,jack reacher,Tom Cruise,Robert Duvall,David Oyelowo,Action Crime Mystery Thriller
Renny Harlin,deep blue sea,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller
Kenny Ortega,this is it,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music
Steven Soderbergh,contagion,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller
David McNally,kangaroo jack,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime
Henry Selick,coraline,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy
M. Night Shyamalan,the happening,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller
Tony Scott,man on fire,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller
Brian Robbins,the shaggy dog,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy
Todd Phillips,starsky & hutch,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime
Brian Levant,jingle all the way,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family
Guillermo del Toro,hellboy,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi
Steven Zaillian,a civil action,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama
Chris Butler,paranorman,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy
Michael Caton-Jones,the jackal,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller
John Woo,paycheck,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller
Jon Avnet,up close & personal,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance
Sam Fell,the tale of despereaux,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy
unknown,rules of engagement            ,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,Comedy Romance
Kevin Donovan,the tuxedo,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi
Geoff Murphy,under siege 2: dark territory,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller
Kenneth Branagh,jack ryan: shadow recruit,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller
David O. Russell,joy,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama
Babak Najafi,london has fallen,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller
Jean-Pierre Jeunet,alien: resurrection,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi
Antoine Fuqua,shooter,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller
Graham Annable,the boxtrolls,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy
Griffin Dunne,practical magic,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance
Phil Lord,the lego movie,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy
John Pasquin,miss congeniality 2: armed and fabulous,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime
Rob Bowman,reign of fire,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller
Ruben Fleischer,gangster squad,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller
Harold Ramis,year one,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy
Clint Eastwood,invictus,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport
Kevin Macdonald,state of play,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller
Tony Gilroy,duplicity,Julia Roberts,Tom Wilkinson,Denis O'Hare,Comedy Crime Romance Thriller
Donald Petrie,my favorite martian,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Comedy Family Sci-Fi
Clark Johnson,the sentinel,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller
Jorge Blanco,planet 51,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi
Stuart Baird,star trek: nemesis,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller
Joel Coen,intolerable cruelty,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy Crime Romance
Robert Lorenz,trouble with the curve,Clint Eastwood,Ed Lauter,Bob Gunton,Drama Sport
Martin Campbell,edge of darkness,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller
Peter Hyams,the relic,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller
Harold Ramis,analyze that,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy Crime
Jon Avnet,righteous kill,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller
Harold Becker,mercury rising,Bruce Willis,Miko Hughes,Carrie Preston,Action Crime Drama Thriller
Joe Wright,the soloist,Robert Downey Jr.,Stephen Root,Rachael Harris,Biography Drama Music
Robert Redford,the legend of bagger vance,Matt Damon,Will Smith,Charlize Theron,Drama Fantasy Sport
Cameron Crowe,almost famous,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music
Tim Hill,garfield 2,Bill Murray,Roger Rees,Ben Falcone,Animation Comedy Family Fantasy
Lee Tamahori,xxx: state of the union,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller
Scott Stewart,priest,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller
Patrick Gilmore,sinbad: legend of the seven seas,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance
Paul W.S. Anderson,event horizon,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Horror Sci-Fi Thriller
Joss Whedon,the avengers,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi
Tom Shadyac,dragonfly,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller
Brian De Palma,the black dahlia,Scarlett Johansson,Mia Kirshner,Mike Starr,Crime Drama Mystery Thriller
Tony Bill,flyboys,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War
Rod Lurie,the last castle,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Action Drama Thriller
Walter Hill,supernova,Robert Forster,Wilson Cruz,Vanessa Marshall,Horror Sci-Fi Thriller
Akiva Goldsman,winter's tale,Matt Bomer,William Hurt,Kevin Corrigan,Drama Fantasy Mystery Romance
Harald Zwart,the mortal instruments: city of bones,Aidan Turner,Kevin Zegers,CCH Pounder,Fantasy Horror Mystery Romance
Brian Robbins,meet dave,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure Comedy Family Romance Sci-Fi
Walter Salles,dark water,Dougray Scott,Camryn Manheim,Ariel Gade,Drama Horror Thriller
Ron Howard,edtv,Matthew McConaughey,Adam Goldberg,Clint Howard,Comedy Drama
Iain Softley,inkheart,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure Family Fantasy
Frank Miller,the spirit,Scarlett Johansson,Jaime King,Louis Lombardi,Action Crime Fantasy Thriller
David Koepp,mortdecai,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance
Uwe Boll,in the name of the king: a dungeon siege tale,Jason Statham,Mike Dopud,Tania Saulnier,Action Adventure Fantasy Thriller
Martin Campbell,beyond borders,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Adventure Drama Romance War
Pou-Soi Cheang,xi you ji zhi: sun wukong san da baigu jing,Li Gong,Aaron Kwok,Eddie Peng,Action Adventure Fantasy
John Dahl,the great raid,James Franco,Clayne Crawford,Paolo Montalban,Action Drama War
Tim Miller,deadpool,Ryan Reynolds,Ed Skrein,Stefan Kapicic,Action Adventure Comedy Romance Sci-Fi
Stephen Herek,holy man,Kelly Preston,Morgan Fairchild,Eric McCormack,Comedy Drama
Clint Eastwood,american sniper,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Action Biography Drama History Thriller War
Rob Letterman,goosebumps,Odeya Rush,Dylan Minnette,Ken Marino,Adventure Comedy Family Fantasy Horror
unknown,"sabrina, the teenage witch            ",Nate Richert,Soleil Moon Frye,Caroline Rhea,Comedy Family Fantasy
Mark Waters,just like heaven,Jon Heder,Ivana Milicevic,Willie Garson,Comedy Fantasy Romance
Brian Levant,the flintstones in viva rock vegas,Taylor Negron,Mark Addy,Danny Woodburn,Comedy Family Romance Sci-Fi
Peter MacDonald,rambo iii,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Action Adventure Thriller War
George Clooney,leatherheads,Robert Baker,Malcolm Goodwin,Matt Bushell,Comedy Drama Romance Sport
Frank Coraci,the ridiculous 6,Taylor Lautner,Adam Sandler,Jon Lovitz,Comedy Western
Marc Lawrence,did you hear about the morgans?,Michael Kelly,Kim Shaw,Kevin Brown,Comedy Drama Romance
Shawn Levy,the internship,Josh Gad,Jessica Szohr,Rob Riggle,Comedy
Paul W.S. Anderson,resident evil: afterlife,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Action Adventure Horror Sci-Fi
Anthony Hemingway,red tails,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War
unknown,sex and the city            ,Chris Noth,Kristin Davis,Cynthia Nixon,Comedy Romance
Taylor Hackford,the devil's advocate,Keanu Reeves,Al Pacino,Charlize Theron,Drama Mystery Thriller
Sean Anders,that's my boy,Adam Sandler,Leighton Meester,Will Forte,Comedy
Rob Cohen,dragonheart,Dennis Quaid,Brian Thompson,Terry O'Neill,Action Adventure Fantasy
Brett Ratner,after the sunset,Salma Hayek,Don Cheadle,Chris Penn,Action Comedy Crime Drama
Mark Neveldine,ghost rider: spirit of vengeance,Nicolas Cage,Spencer Wilding,Christopher Lambert,Action Fantasy Thriller
John Madden,captain corelli's mandolin,Christian Bale,Irene Papas,Mihalis Giannatos,Drama Music Romance War
unknown,anger management            ,Barry Corbin,Noureen DeWulf,Brian Austin Green,Comedy Romance
Adam Shankman,the pacifier,Vin Diesel,Brad Garrett,Tate Donovan,Action Comedy Drama Family Thriller
Kevin Bray,walking tall,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime
Robert Zemeckis,forrest gump,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Comedy Drama
Tim Hill,alvin and the chipmunks,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Animation Comedy Family Fantasy Music
Jay Roach,meet the parents,Robert De Niro,Blythe Danner,Teri Polo,Comedy
Mike Gabriel,pocahontas,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance
Richard Donner,superman,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi
Tom Shadyac,the nutty professor,Jada Pinkett Smith,James Coburn,Dave Chappelle,Comedy Romance Sci-Fi
Andy Tennant,hitch,Will Smith,Michael Rapaport,Kevin Sussman,Comedy Romance
Sam Weisman,george of the jungle,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance
Jesse Dylan,american wedding,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Comedy Romance
Paul Greengrass,captain phillips,Tom Hanks,Chris Mulkey,Michael Chernus,Biography Drama Thriller
Shawn Levy,date night,Mila Kunis,James Franco,Steve Carell,Comedy Crime Romance Thriller
Brad Silberling,casper,Eric Idle,Fred Rogers,Cathy Moriarty,Comedy Family Fantasy
Antoine Fuqua,the equalizer,Denzel Washington,Chloë Grace Moretz,James Wilcox,Action Crime Thriller
Wayne Wang,maid in manhattan,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy Drama Romance
Tony Scott,crimson tide,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War
Gabriele Muccino,the pursuit of happyness,Will Smith,Kurt Fuller,James Karen,Biography Drama
Robert Schwentke,flightplan,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller
Barry Levinson,disclosure,Demi Moore,Dylan Baker,Roma Maffia,Drama Thriller
Brad Silberling,city of angels,Nicolas Cage,Andre Braugher,Colm Feore,Drama Fantasy Romance
Quentin Tarantino,kill bill: vol. 1,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action
Frank Oz,bowfinger,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy
unknown,stargate sg-1            ,Christopher Judge,Don S. Davis,Gary Jones,Action Adventure Drama Sci-Fi
Quentin Tarantino,kill bill: vol. 2,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller
Andrey Konchalovskiy,tango & cash,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller
Robert Zemeckis,death becomes her,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy Fantasy Horror
Tom Dey,shanghai noon,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western
Stuart Baird,executive decision,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller
Mark Waters,mr. popper's penguins,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Comedy Family Fantasy
Rob Minkoff,the forbidden kingdom,Jet Li,Thomas McDonell,Michael Angarano,Action Adventure Fantasy
Jimmy Hayward,free birds,Amy Poehler,Carlos Ponce,Dan Fogler,Adventure Animation Comedy Family
David Fincher,alien 3,Charles S. Dutton,Holt McCallany,Paul McGann,Action Horror Sci-Fi
Alan Parker,evita,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography Drama History Musical
John Frankenheimer,ronin,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action Adventure Crime Thriller
Stephen Hopkins,the ghost and the darkness,Tom Wilkinson,Bernard Hill,Om Puri,Adventure Drama Horror Thriller
Paul King,paddington,Julie Walters,Matt Lucas,Sally Hawkins,Animation Comedy Family Fantasy
Akiva Schaffer,the watch,Will Forte,Nicholas Braun,Rosemarie DeWitt,Action Comedy Sci-Fi
William Friedkin,the hunted,Connie Nielsen,Jenna Boyd,Rex Linn,Action Crime Drama Thriller
Jon Turteltaub,instinct,Anthony Hopkins,Maura Tierney,John Ashton,Drama Thriller
Bobby Farrelly,stuck on you,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy
Kent Alterman,semi-pro,Will Ferrell,Maura Tierney,Matt Walsh,Comedy Sport
Peter Lord,the pirates! band of misfits,Salma Hayek,Russell Tovey,Brian Blessed,Adventure Animation Comedy Family
Clint Eastwood,changeling,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime Drama Mystery Thriller
Andrew Davis,chain reaction,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action Drama Sci-Fi Thriller
Tony Scott,the fan,Robert De Niro,Kurt Fuller,Ellen Barkin,Action Drama Sport Thriller
Joel Schumacher,the phantom of the opera,Gerard Butler,Minnie Driver,Miranda Richardson,Drama Musical Romance Thriller
Shekhar Kapur,elizabeth: the golden age,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Biography Drama History War
Karyn Kusama,æon flux,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action Sci-Fi
Ron Maxwell,gods and generals,Billy Campbell,Bruce Boxleitner,John Castle,Drama History War
Robert Butler,turbulence,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action Thriller
Karey Kirkpatrick,imagine that,Stephen Root,Ronny Cox,Richard Schiff,Comedy Drama Family Fantasy
James Bobin,muppets most wanted,Ty Burrell,Tina Fey,Hugh Bonneville,Adventure Comedy Crime Family Musical
Jonathan Frakes,thunderbirds,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi
Steve Antin,burlesque,Eric Dane,Peter Gallagher,David Walton,Drama Music Musical Romance
