director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres,comb
Andrzej Bartkowiak,street fighter: the legend of chun-li,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller
James Wong,the one,Jason Statham,Jet Li,Delroy Lindo,Action Sci-Fi Thriller,Jason Statham Jet Li Delroy Lindo James Wong Action Sci-Fi Thriller
unknown,outlander            ,Tobias Menzies,Graham McTavish,Stephen Walters,Drama Romance Sci-Fi,Tobias Menzies Graham McTavish Stephen Walters unknown Drama Romance Sci-Fi
Renny Harlin,the adventures of ford fairlane,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Action Adventure Comedy Crime Music Mystery,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery
Richard Curtis,pirate radio,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Comedy Drama Music,Philip Seymour Hoffman Charlie Rowe Tom Sturridge Richard Curtis Comedy Drama Music
Steven Soderbergh,traffic,Michael O'Neill,Jacob Vargas,James Lew,Crime Drama Thriller,Michael O'Neill Jacob Vargas James Lew Steven Soderbergh Crime Drama Thriller
Steven Spielberg,indiana jones and the last crusade,Harrison Ford,Julian Glover,Alison Doody,Action Adventure Fantasy,Harrison Ford Julian Glover Alison Doody Steven Spielberg Action Adventure Fantasy
Joe Wright,anna karenina,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Drama Romance,Kelly Macdonald Guro Nagelhus Schia Matthew Macfadyen Joe Wright Drama Romance
Neill Blomkamp,chappie,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Sci-Fi Thriller
Phillip Noyce,the bone collector,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Crime Drama Mystery Thriller,Denzel Washington Angelina Jolie Pitt Leland Orser Phillip Noyce Crime Drama Mystery Thriller
David Fincher,panic room,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,Crime Drama Thriller,Kristen Stewart Dwight Yoakam Mel Rodriguez David Fincher Crime Drama Thriller
Chuck Bowman,the tooth fairy,P.J. Soles,Lochlyn Munro,Steve Bacic,Horror Thriller,P.J. Soles Lochlyn Munro Steve Bacic Chuck Bowman Horror Thriller
David O. Russell,three kings,Judy Greer,Jamie Kennedy,Mykelti Williamson,Action Adventure Comedy Drama War,Judy Greer Jamie Kennedy Mykelti Williamson David O. Russell Action Adventure Comedy Drama War
Daniel Espinosa,child 44,Tom Hardy,Fares Fares,Michael Nardone,Crime Drama Thriller,Tom Hardy Fares Fares Michael Nardone Daniel Espinosa Crime Drama Thriller
Jerry Zucker,rat race,Corinna Harney,Douglas Haase,Vince Vieluf,Adventure Comedy,Corinna Harney Douglas Haase Vince Vieluf Jerry Zucker Adventure Comedy
Iain Softley,k-pax,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Sci-Fi
James Mangold,kate & leopold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy Fantasy Romance,Hugh Jackman Natasha Lyonne Bradley Whitford James Mangold Comedy Fantasy Romance
Harold Ramis,bedazzled,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Comedy Fantasy Romance,Brendan Fraser Frances O'Connor Brian Doyle-Murray Harold Ramis Comedy Fantasy Romance
Francis Ford Coppola,the cotton club,Nicolas Cage,Bob Hoskins,Fred Gwynne,Crime Drama Music,Nicolas Cage Bob Hoskins Fred Gwynne Francis Ford Coppola Crime Drama Music
James Mangold,3:10 to yuma,Christian Bale,Logan Lerman,Gretchen Mol,Adventure Crime Drama Western,Christian Bale Logan Lerman Gretchen Mol James Mangold Adventure Crime Drama Western
Olivier Megaton,taken 3,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller
Steven Soderbergh,out of sight,Don Cheadle,Albert Brooks,Keith Hudson,Crime Drama Romance Thriller,Don Cheadle Albert Brooks Keith Hudson Steven Soderbergh Crime Drama Romance Thriller
Ben Stiller,the cable guy,Matthew Broderick,Janeane Garofalo,Andy Dick,Comedy Drama Thriller,Matthew Broderick Janeane Garofalo Andy Dick Ben Stiller Comedy Drama Thriller
Deepa Mehta,earth,Nandita Das,Gulshan Grover,Eric Peterson,Drama Romance War,Nandita Das Gulshan Grover Eric Peterson Deepa Mehta Drama Romance War
Warren Beatty,dick tracy,Charlie Korsmo,Warren Beatty,Seymour Cassel,Action Comedy Crime Music Romance Thriller,Charlie Korsmo Warren Beatty Seymour Cassel Warren Beatty Action Comedy Crime Music Romance Thriller
John McTiernan,the thomas crown affair,Mark Margolis,Faye Dunaway,Denis Leary,Crime Romance Thriller,Mark Margolis Faye Dunaway Denis Leary John McTiernan Crime Romance Thriller
Penny Marshall,riding in cars with boys,Rosie Perez,Adam Garcia,Alissa Dean,Biography Comedy Drama,Rosie Perez Adam Garcia Alissa Dean Penny Marshall Biography Comedy Drama
Andrei Tarkovsky,solaris,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Drama Mystery Sci-Fi,Donatas Banionis Anatoliy Solonitsyn Natalya Bondarchuk Andrei Tarkovsky Drama Mystery Sci-Fi
Paul Bolger,happily n'ever after,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Adventure Animation Comedy Family Fantasy,Sarah Michelle Gellar George Carlin Rob Paulsen Paul Bolger Adventure Animation Comedy Family Fantasy
Stephen Frears,mary reilly,Julia Roberts,Bronagh Gallagher,George Cole,Drama Horror Romance Thriller,Julia Roberts Bronagh Gallagher George Cole Stephen Frears Drama Horror Romance Thriller
P.J. Hogan,my best friend's wedding,Julia Roberts,Christopher Masterson,Rupert Everett,Comedy Romance,Julia Roberts Christopher Masterson Rupert Everett P.J. Hogan Comedy Romance
Joe Roth,america's sweethearts,Julia Roberts,Rainn Wilson,Larry King,Comedy Romance,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy Romance
Christopher Nolan,insomnia,Al Pacino,Maura Tierney,Crystal Lowe,Drama Mystery Thriller,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller
Jonathan Frakes,star trek: first contact,LeVar Burton,Alfre Woodard,Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,LeVar Burton Alfre Woodard Jonathan Frakes Jonathan Frakes Action Adventure Drama Sci-Fi Thriller
Jimmy Hayward,jonah hex,Michael Fassbender,Billy Blair,Julia Jones,Action Drama Fantasy Thriller Western,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action Drama Fantasy Thriller Western
Edward Zwick,courage under fire,Denzel Washington,Matt Damon,Scott Glenn,Action Drama Mystery Thriller War,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action Drama Mystery Thriller War
Tom Shadyac,liar liar,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Comedy Fantasy Romance,Maura Tierney Swoosie Kurtz Randall 'Tex' Cobb Tom Shadyac Comedy Fantasy Romance
Brad Furman,the infiltrator,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Biography Crime Drama Thriller,Joseph Gilgun Amy Ryan Olympia Dukakis Brad Furman Biography Crime Drama Thriller
Terence Young,inchon,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Drama History War,Laurence Olivier Ben Gazzara Jacqueline Bisset Terence Young Drama History War
Brian Levant,the flintstones,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Comedy Family Fantasy,Jonathan Winters Elizabeth Perkins Harvey Korman Brian Levant Comedy Family Fantasy
Olivier Megaton,taken 2,Liam Neeson,Luke Grimes,D.B. Sweeney,Action Crime Thriller,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action Crime Thriller
David Zucker,scary movie 3,Regina Hall,Pamela Anderson,Jenny McCarthy,Comedy,Regina Hall Pamela Anderson Jenny McCarthy David Zucker Comedy
Donald Petrie,miss congeniality,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Action Comedy Crime Romance,Candice Bergen Wendy Raquel Robinson Heather Burns Donald Petrie Action Comedy Crime Romance
Eric Brevig,journey to the center of the earth,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action Adventure Family Fantasy Sci-Fi
Garry Marshall,the princess diaries 2: royal engagement,Anne Hathaway,Raven-Symoné,Hector Elizondo,Comedy Family Romance,Anne Hathaway Raven-Symoné Hector Elizondo Garry Marshall Comedy Family Romance
Alan J. Pakula,the pelican brief,Denzel Washington,Julia Roberts,Tony Goldwyn,Crime Drama Mystery Thriller,Denzel Washington Julia Roberts Tony Goldwyn Alan J. Pakula Crime Drama Mystery Thriller
Joel Schumacher,the client,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Crime Drama Mystery Thriller,Bradley Whitford Anthony LaPaglia Brad Renfro Joel Schumacher Crime Drama Mystery Thriller
Rob Reiner,the bucket list,Morgan Freeman,Noel Gugliemi,Sean Hayes,Adventure Comedy Drama,Morgan Freeman Noel Gugliemi Sean Hayes Rob Reiner Adventure Comedy Drama
Phillip Noyce,patriot games,Harrison Ford,Polly Walker,Patrick Bergin,Action Thriller,Harrison Ford Polly Walker Patrick Bergin Phillip Noyce Action Thriller
Robert Luketic,monster-in-law,Adam Scott,Jane Fonda,Elaine Stritch,Comedy Romance,Adam Scott Jane Fonda Elaine Stritch Robert Luketic Comedy Romance
Denis Villeneuve,prisoners,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime Drama Mystery Thriller
Antoine Fuqua,training day,Denzel Washington,Snoop Dogg,Tom Berenger,Crime Drama Thriller,Denzel Washington Snoop Dogg Tom Berenger Antoine Fuqua Crime Drama Thriller
Dean Parisot,galaxy quest,Alan Rickman,Enrico Colantoni,Robin Sachs,Adventure Comedy Sci-Fi,Alan Rickman Enrico Colantoni Robin Sachs Dean Parisot Adventure Comedy Sci-Fi
Keenen Ivory Wayans,scary movie 2,Natasha Lyonne,Veronica Cartwright,Andy Richter,Comedy,Natasha Lyonne Veronica Cartwright Andy Richter Keenen Ivory Wayans Comedy
James Bobin,the muppets,Bill Cobbs,Eric Jacobson,Steve Whitmire,Adventure Comedy Family Musical,Bill Cobbs Eric Jacobson Steve Whitmire James Bobin Adventure Comedy Family Musical
Stephen Norrington,blade,Sanaa Lathan,Traci Lords,Udo Kier,Action Horror,Sanaa Lathan Traci Lords Udo Kier Stephen Norrington Action Horror
Thomas Carter,coach carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Drama Sport,Channing Tatum Rick Gonzalez Robert Ri'chard Thomas Carter Drama Sport
Roger Michell,changing lanes,Sydney Pollack,Matt Malloy,Bruce Altman,Drama Thriller,Sydney Pollack Matt Malloy Bruce Altman Roger Michell Drama Thriller
Luis Llosa,anaconda,Frank Welker,Eric Stoltz,Kari Wuhrer,Action Adventure Horror Thriller,Frank Welker Eric Stoltz Kari Wuhrer Luis Llosa Action Adventure Horror Thriller
David McNally,coyote ugly,Adam Garcia,Tyra Banks,Izabella Miko,Comedy Drama Music Romance,Adam Garcia Tyra Banks Izabella Miko David McNally Comedy Drama Music Romance
Richard Curtis,love actually,Colin Firth,Liam Neeson,Kris Marshall,Comedy Drama Romance,Colin Firth Liam Neeson Kris Marshall Richard Curtis Comedy Drama Romance
John Lasseter,a bug's life,Kevin Spacey,Madeline Kahn,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kevin Spacey Madeline Kahn John Ratzenberger John Lasseter Adventure Animation Comedy Family Fantasy
Luis Llosa,the specialist,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Action Crime Drama Romance Thriller,Sylvester Stallone Rod Steiger Emilio Estefan Jr. Luis Llosa Action Crime Drama Romance Thriller
Ron Shelton,tin cup,Don Johnson,Cheech Marin,Rene Russo,Comedy Drama Romance Sport,Don Johnson Cheech Marin Rene Russo Ron Shelton Comedy Drama Romance Sport
Melville Shavelson,"yours, mine and ours",Lucille Ball,Tom Bosley,Tim Matheson,Comedy Family,Lucille Ball Tom Bosley Tim Matheson Melville Shavelson Comedy Family
Jesse Dylan,kicking & screaming,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy Family Romance Sport,Josh Hutcherson Will Ferrell Robert Duvall Jesse Dylan Comedy Family Romance Sport
Garth Jennings,the hitchhiker's guide to the galaxy,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Adventure Comedy Sci-Fi,Zooey Deschanel Kelly Macdonald Thomas Lennon Garth Jennings Adventure Comedy Sci-Fi
Joel Zwick,fat albert,Dania Ramirez,Nick Zano,Alice Greczyn,Comedy Family Fantasy Romance,Dania Ramirez Nick Zano Alice Greczyn Joel Zwick Comedy Family Fantasy Romance
Russell Mulcahy,resident evil: extinction,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action Horror Sci-Fi Thriller
Frank Coraci,blended,Bella Thorne,Adam Sandler,Joel McHale,Comedy Romance,Bella Thorne Adam Sandler Joel McHale Frank Coraci Comedy Romance
Wayne Wang,last holiday,LL Cool J,Alicia Witt,Timothy Hutton,Adventure Comedy Drama,LL Cool J Alicia Witt Timothy Hutton Wayne Wang Adventure Comedy Drama
Curtis Hanson,the river wild,Meryl Streep,Glenn Morshower,William Lucking,Action Adventure Crime Thriller,Meryl Streep Glenn Morshower William Lucking Curtis Hanson Action Adventure Crime Thriller
Frank Oz,the indian in the cupboard,Steve Coogan,Vincent Kartheiser,David Keith,Drama Family Fantasy,Steve Coogan Vincent Kartheiser David Keith Frank Oz Drama Family Fantasy
Oliver Stone,savages,Demián Bichir,Shea Whigham,Gary Stretch,Crime Drama Thriller,Demián Bichir Shea Whigham Gary Stretch Oliver Stone Crime Drama Thriller
David R. Ellis,cellular,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action Crime Thriller
Peter Howitt,johnny english,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action Adventure Comedy
John A. Davis,the ant bully,Nicolas Cage,Meryl Streep,Julia Roberts,Adventure Animation Comedy Family Fantasy,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure Animation Comedy Family Fantasy
David Lynch,dune,Virginia Madsen,Jürgen Prochnow,José Ferrer,Action Adventure Sci-Fi,Virginia Madsen Jürgen Prochnow José Ferrer David Lynch Action Adventure Sci-Fi
Sam Mendes,revolutionary road,Leonardo DiCaprio,Kate Winslet,Joe Komara,Drama Romance,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama Romance
Richard Donner,16 blocks,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller,Bruce Willis David Zayas Sasha Roiz Richard Donner Action Crime Drama Thriller
Mathieu Kassovitz,babylon a.d.,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action Adventure Sci-Fi Thriller
John Gray,the glimmer man,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,Action Comedy Crime Drama Thriller,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action Comedy Crime Drama Thriller
Harold Ramis,multiplicity,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Comedy Romance Sci-Fi,John de Lancie Brian Doyle-Murray Obba Babatundé Harold Ramis Comedy Romance Sci-Fi
John Schultz,aliens in the attic,Malese Jow,Carter Jenkins,Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure Comedy Family Fantasy Sci-Fi
Sean Penn,the pledge,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime Drama Mystery Thriller
Susan Stroman,the producers,Jon Lovitz,Will Ferrell,Matthew Broderick,Comedy Musical,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy Musical
Pete Travis,dredd,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,Wood Harris Jason Cope Rakie Ayola Pete Travis Action Sci-Fi
Simon Wincer,the phantom,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Action Adventure Comedy Fantasy,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action Adventure Comedy Fantasy
Billy Bob Thornton,all the pretty horses,Matt Damon,Henry Thomas,Sam Shepard,Drama Romance Western,Matt Damon Henry Thomas Sam Shepard Billy Bob Thornton Drama Romance Western
Oliver Stone,nixon,Anthony Hopkins,Bob Hoskins,Joan Allen,Biography Drama History,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography Drama History
Roman Polanski,the ghost writer,Jim Belushi,Olivia Williams,Timothy Hutton,Mystery Thriller,Jim Belushi Olivia Williams Timothy Hutton Roman Polanski Mystery Thriller
Stephen Sommers,deep rising,Djimon Hounsou,Jason Flemyng,Wes Studi,Action Adventure Horror Sci-Fi,Djimon Hounsou Jason Flemyng Wes Studi Stephen Sommers Action Adventure Horror Sci-Fi
Spike Lee,miracle at st. anna,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Action Crime Drama Thriller War,Joseph Gordon-Levitt Omari Hardwick Laz Alonso Spike Lee Action Crime Drama Thriller War
Yimou Zhang,curse of the golden flower,Li Gong,Ye Liu,Man Li,Drama Romance,Li Gong Ye Liu Man Li Yimou Zhang Drama Romance
Danny Pang,bangkok dangerous,Nicolas Cage,Charlie Yeung,James With,Action Crime Thriller,Nicolas Cage Charlie Yeung James With Danny Pang Action Crime Thriller
Barry Sonnenfeld,big trouble,Zooey Deschanel,Janeane Garofalo,Omar Epps,Comedy Crime Thriller,Zooey Deschanel Janeane Garofalo Omar Epps Barry Sonnenfeld Comedy Crime Thriller
Mike Newell,love in the time of cholera,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Drama Romance,Marcela Mar Giovanna Mezzogiorno Unax Ugalde Mike Newell Drama Romance
unknown,the returned            ,Pierre Perrier,Clotilde Hesme,Céline Sallette,Drama Fantasy Horror Mystery,Pierre Perrier Clotilde Hesme Céline Sallette unknown Drama Fantasy Horror Mystery
George P. Cosmatos,shadow conspiracy,Sam Waterston,Ben Gazzara,Nicholas Turturro,Action Thriller,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action Thriller
Oliver Parker,johnny english reborn,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Action Adventure Comedy Crime,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action Adventure Comedy Crime
Lawrence Kasanoff,foodfight!,Jerry Stiller,Larry Miller,Harvey Fierstein,Action Animation Comedy Family Fantasy,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action Animation Comedy Family Fantasy
Ben Affleck,argo,Clea DuVall,Scoot McNairy,Tate Donovan,Biography Drama History Thriller,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography Drama History Thriller
Andrew Davis,the fugitive,Harrison Ford,Daniel Roebuck,Sela Ward,Action Adventure Crime Drama Mystery Thriller,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
Andy Tennant,the bounty hunter,Gerard Butler,Dorian Missick,Peter Greene,Action Comedy Romance,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action Comedy Romance
Barry Levinson,sleepers,Robert De Niro,Brad Pitt,Minnie Driver,Crime Drama Thriller,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime Drama Thriller
George P. Cosmatos,rambo: first blood part ii,Sylvester Stallone,Julia Nickson,Martin Kove,Action Adventure Thriller War,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action Adventure Thriller War
Brian Gibson,the juror,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Drama Thriller,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama Thriller
Norman Ferguson,pinocchio,Mel Blanc,Dickie Jones,Cliff Edwards,Animation Family Fantasy Musical,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation Family Fantasy Musical
Michael Cimino,heaven's gate,Jeff Bridges,Sam Waterston,Isabelle Huppert,Adventure Drama Western,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure Drama Western
Len Wiseman,underworld: evolution,Sophia Myles,Tony Curran,Derek Jacobi,Action Adventure Fantasy Sci-Fi Thriller,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action Adventure Fantasy Sci-Fi Thriller
Gus Van Sant,finding forrester,F. Murray Abraham,Rob Brown,Michael Nouri,Drama,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
Betty Thomas,28 days,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Comedy Drama,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy Drama
Louis Leterrier,unleashed,Morgan Freeman,Jet Li,Bob Hoskins,Action Crime Drama Thriller,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action Crime Drama Thriller
Roger Kumble,the sweetest thing,Judith Chapman,Lillian Adams,Chelsea Bond,Comedy Romance,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy Romance
Sydney Pollack,the firm,Tom Cruise,Holly Hunter,Wilford Brimley,Drama Mystery Thriller,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama Mystery Thriller
Burr Steers,charlie st. cloud,Augustus Prew,Charlie Tahan,Valerie Tian,Drama Fantasy Romance,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama Fantasy Romance
Simon West,the mechanic,Jason Statham,Tony Goldwyn,Mini Anden,Action Crime Thriller,Jason Statham Tony Goldwyn Mini Anden Simon West Action Crime Thriller
Phil Lord,21 jump street,Channing Tatum,Dax Flame,Rob Riggle,Action Comedy Crime,Channing Tatum Dax Flame Rob Riggle Phil Lord Action Comedy Crime
Roger Michell,notting hill,Julia Roberts,Clarke Peters,Dylan Moran,Comedy Drama Romance,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy Drama Romance
Peter Lord,chicken run,Imelda Staunton,Miranda Richardson,Julia Sawalha,Adventure Animation Comedy Drama Family,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure Animation Comedy Drama Family
John Hamburg,along came polly,Philip Seymour Hoffman,Masi Oka,Debra Messing,Comedy Romance,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy Romance
Reginald Hudlin,boomerang,John Witherspoon,Eartha Kitt,Geoffrey Holder,Comedy Drama Romance,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy Drama Romance
Paul Feig,the heat,Michael Rapaport,William Xifaras,Demián Bichir,Action Comedy Crime,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action Comedy Crime
Joseph L. Mankiewicz,cleopatra,Martin Landau,Richard Burton,Roddy McDowall,Biography Drama History Romance,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography Drama History Romance
Frank Coraci,here comes the boom,Salma Hayek,Reggie Lee,Charice,Action Comedy Sport,Salma Hayek Reggie Lee Charice Frank Coraci Action Comedy Sport
Carl Franklin,high crimes,Morgan Freeman,Adam Scott,Bruce Davison,Crime Drama Mystery Thriller,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime Drama Mystery Thriller
Barbra Streisand,the mirror has two faces,Jeff Bridges,Austin Pendleton,Mimi Rogers,Comedy Drama Romance,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy Drama Romance
Mark Pellington,the mothman prophecies,Debra Messing,Will Patton,David Eigenberg,Drama Horror Mystery Thriller,Debra Messing Will Patton David Eigenberg Mark Pellington Drama Horror Mystery Thriller
Larry Charles,brüno,Bono,Elton John,Slash,Comedy,Bono Elton John Slash Larry Charles Comedy
John Glen,licence to kill,Robert Davi,Talisa Soto,Anthony Zerbe,Action Adventure Thriller,Robert Davi Talisa Soto Anthony Zerbe John Glen Action Adventure Thriller
Catherine Hardwicke,red riding hood,Gary Oldman,Billy Burke,Virginia Madsen,Fantasy Horror Mystery Thriller,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy Horror Mystery Thriller
John Herzfeld,15 minutes,Robert De Niro,Charlize Theron,Kelsey Grammer,Action Crime Drama Thriller,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action Crime Drama Thriller
Annabel Jankel,super mario bros.,Bob Hoskins,Fisher Stevens,Fiona Shaw,Adventure Comedy Family Fantasy Sci-Fi,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure Comedy Family Fantasy Sci-Fi
Andrew Niccol,lord of war,Nicolas Cage,Jeremy Crutchley,Jared Burke,Crime Drama Thriller,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime Drama Thriller
Julie Anne Robinson,one for the money,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Action Comedy Crime Romance Thriller,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action Comedy Crime Romance Thriller
Evan Goldberg,the interview,James Franco,Randall Park,Anders Holm,Comedy,James Franco Randall Park Anders Holm Evan Goldberg Comedy
Sngmoo Lee,the warrior's way,Tony Cox,Dong-gun Jang,Jed Brophy,Action Fantasy Western,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action Fantasy Western
unknown,mchale's navy            ,Tim Conway,Gavin MacLeod,Bob Hastings,Comedy War,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy War
Jean-Pierre Jeunet,micmacs,Omar Sy,Dany Boon,André Dussollier,Action Comedy Crime,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action Comedy Crime
Curtis Hanson,8 mile,Mekhi Phifer,Omar Benson Miller,Evan Jones,Drama Music,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama Music
Jamel Debbouze,animal kingdom: let's go ape,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Adventure Animation Comedy Family,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure Animation Comedy Family
Brian Helgeland,a knight's tale,Heath Ledger,Rufus Sewell,Bérénice Bejo,Action Adventure Romance,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action Adventure Romance
Gordon Chan,the medallion,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Action Comedy Fantasy,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action Comedy Fantasy
M. Night Shyamalan,the sixth sense,Bruce Willis,Haley Joel Osment,Olivia Williams,Drama Mystery Thriller,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama Mystery Thriller
Asger Leth,man on a ledge,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Action Crime Thriller,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action Crime Thriller
David Frankel,the big year,Joel McHale,Kevin Pollak,JoBeth Williams,Comedy,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
David O. Russell,american hustle,Jennifer Lawrence,Christian Bale,Bradley Cooper,Crime Drama,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime Drama
